species,locality,individualCount,decimalLatitude,decimalLongitude,eventDate,day,month,year
Gymnorhina tibicen,Princes Park,3,-37.77888,144.96116,2017-10-04,4,10,2017
Dacelo novaeguineae,fitzroy gardens,1,-37.81356,144.98182,2017-11-04,4,11,2017
Manorina melanocephala,Royal Botanic Gardens,,-37.83831,144.97679,2017-07-17,17,7,2017
Gymnorhina tibicen,Royal Botanic Gardens Melbourne,,-37.83333,144.98333,2018-08-29,29,8,2018
Gymnorhina tibicen,Fitzroy Gardens,4,-37.81337,144.98006,2018-05-12,12,5,2018
Gymnorhina tibicen,Royal Botanic Gardens,,-37.83,144.98028,2017-08-28,28,8,2017
Manorina melanocephala,Princes Park,11,-37.77888,144.96116,2017-10-26,26,10,2017
Gymnorhina tibicen,westgate park,,-37.83167,144.91111,2018-07-26,26,7,2018
Gymnorhina tibicen,Fitzroy Gardens,6,-37.81337,144.98006,2017-05-21,21,5,2017
Gymnorhina tibicen,Fitzroy Gardens,4,-37.81449,144.98013,2017-12-15,15,12,2017
Rhipidura leucophrys,MWrbm Westgate Park,4,-37.83229,144.91082,2018-09-23,23,9,2018
Dacelo novaeguineae,Royal Botanic Gardens,,-37.82944,144.97861,2017-03-23,23,3,2017
Gymnorhina tibicen,Royal Botanic Gardens Melbourne,,-37.82444,144.97389,2018-05-04,4,5,2018
Gymnorhina tibicen,Royal Park Storage Pond,1,-37.78233,144.9414,2018-11-11,11,11,2018
Gymnorhina tibicen,,10,-37.78949,144.95495,2017-05-11,11,5,2017
Dacelo novaeguineae,Fitzroy Gardens,1,-37.81337,144.98006,2017-12-17,17,12,2017
Rhipidura leucophrys,westgate park,,-37.83167,144.91111,2018-03-16,16,3,2018
Gymnorhina tibicen,Royal Botanic Gardens Melbourne,,-37.82444,144.97389,2017-08-04,4,8,2017
Cacatua galerita,Royal Botanic Gardens Melbourne,,-37.82444,144.97389,2018-05-04,4,5,2018
Rhipidura leucophrys,Royal Botanic Gardens Melbourne,5,-37.82751,144.98005,2017-01-11,11,1,2017
Cacatua galerita,Fitzroy Gardens,2,-37.81337,144.98006,2017-12-17,17,12,2017
Manorina melanocephala,Fitzroy Gardens,1,-37.81337,144.98006,2017-11-06,6,11,2017
Gymnorhina tibicen,MWrbm Westgate Park,7,-37.83104,144.90936,2018-09-02,2,9,2018
Manorina melanocephala,Melbourne Botanical Gardens,5,-37.82929,144.98072,2017-12-19,19,12,2017
Rhipidura leucophrys,Melbourne zoo,3,-37.78565,144.94983,2018-08-01,1,8,2018
Dacelo novaeguineae,Royal Botanic Gardens,,-37.82944,144.97861,2018-10-27,27,10,2018
Gymnorhina tibicen,westgate park,,-37.83167,144.91111,2017-12-24,24,12,2017
Cacatua galerita,Royal Botanic Gardens,,-37.82944,144.97861,2017-05-01,1,5,2017
Rhipidura leucophrys,MWrbm Flemington Racecourse,1,-37.78701,144.91669,2018-07-27,27,7,2018
