Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,086232,2009,1.0,3.2,39.2,37.2,11.6,23.0,37.6,35.0,67.8,22.0,94.2,43.2,415.0
IDCJAC0001,086232,2010,29.0,41.8,95.8,62.3,24.8,53.6,21.2,56.0,40.0,139.0,114.2,85.2,762.9
IDCJAC0001,086232,2011,89.0,161.8,23.9,96.9,61.6,34.0,39.6,23.6,72.4,67.8,113.2,79.0,862.8
IDCJAC0001,086232,2012,30.6,59.0,62.0,56.6,78.6,73.8,59.6,52.0,42.6,36.0,39.8,27.6,618.2
IDCJAC0001,086232,2013,8.8,69.0,41.6,23.4,44.6,97.4,71.6,64.6,87.5,52.0,61.6,43.2,665.3
IDCJAC0001,086232,2014,14.8,24.0,27.6,76.4,41.0,54.4,27.4,35.2,36.2,46.2,59.2,36.8,479.2
IDCJAC0001,086232,2015,56.8,41.4,24.4,31.0,42.8,81.7,65.0,41.0,33.2,11.8,46.4,114.5,590.0
IDCJAC0001,086232,2016,53.4,9.2,38.2,49.7,60.2,71.3,68.6,69.4,104.6,70.2,36.4,47.7,678.9
IDCJAC0001,086232,2017,33.2,47.0,29.2,142.7,29.6,21.4,35.6,44.8,46.7,43.4,46.2,119.2,605.8
IDCJAC0001,086232,2018,73.6,1.2,24.6,19.0,72.2,47.2,22.0,49.4,19.0,24.9,89.6,117.3,560.0
IDCJAC0001,086232,2019,12.6,20.3,14.6,11.6,63.5,57.5,52.8,64.3,51.4,27.7,60.8,4.4,441.5

